TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AURA33;60,49;7,59;7,92;2,96;1.601,18;45,23;31,96;27,16;6,73;6,68;-0,06;-0,02;2,15;12,13;-2,56;1,54;37,37;20.205,80;29,84;540,74;459,26;743,89;;;9.961.905,07;20,43;7,63;0,00;4.279.211.405,40
B3SA3;14,64;7,04;19,15;3,95;1,81;90,85;63,19;45,35;13,74;12,47;-1,27;-0,36;8,68;12,18;-3,02;1,59;20,64;9,46;13,91;0,46;0,54;0,21;33,29;13,50;542.708.658,13;3,70;0,76;0,49;89.684.640.000,00
BBAS3;29,50;6,85;5,32;0,62;0,04;41,25;17,85;17,29;5,15;5,15;;;0,92;1,49;-0,05;14,02;11,73;0,83;;0,07;0,93;0,05;-11,56;-3,39;354.310.729,90;47,27;5,55;-0,74;84.529.802.090,00
BEEF3;8,60;11,98;8,61;11,18;0,27;17,67;8,07;2,39;2,55;5,42;2,87;12,55;0,21;1,04;-0,85;1,61;129,74;3,11;14,99;0,02;0,98;1,30;15,30;;67.228.440,03;0,77;1,00;-0,43;4.726.926.626,60
BRAP3;61,77;10,64;4,24;1,60;1,60;;;;4,24;4,46;-0,15;-0,06;;29,38;-1,69;16,30;37,74;37,58;37,65;1,00;0,00;0,00;;;3.290.602,70;38,56;14,55;0,00;23.379.498.384,33
BRAP4;70,10;10,31;4,82;1,82;1,81;;;;4,81;4,46;-0,15;-0,06;;33,35;-1,92;16,30;37,74;37,58;37,65;1,00;0,00;0,00;;;153.991.265,80;38,56;14,55;0,00;23.379.498.384,33
BRDT3;27,25;7,30;7,29;2,70;1,11;6,03;5,33;4,33;5,92;7,19;1,27;0,58;0,32;3,57;-2,25;2,60;37,00;15,25;20,40;0,41;0,59;3,52;-3,48;;422.970.612,20;10,11;3,74;0,05;31.746.250.000,00
CAML3;8,71;7,03;6,98;1,19;0,52;21,20;7,62;5,77;5,29;7,34;2,05;0,46;0,40;1,46;-1,36;2,38;17,03;7,48;10,93;0,44;0,56;1,30;12,04;33,10;12.764.972,90;7,32;1,25;0,09;3.222.700.000,00
CCPR3;10,22;9,42;32,77;0,95;0,30;62,82;53,02;9,63;5,95;10,00;4,05;0,65;3,15;3,20;-0,36;2,68;2,90;0,92;4,92;0,32;0,43;0,10;4,82;19,63;2.285.357,27;10,75;0,31;-1,27;1.560.026.227,90
CEBR3;175,85;20,99;1,53;1,35;1,17;-7,88;-212,61;-184,88;1,33;0,61;-0,74;-0,75;;1,61;-4,80;25,71;88,42;76,37;61,87;0,86;0,04;-0,41;-36,10;56,67;309.795,00;129,89;114,85;0,00;2.561.518.498,80
