TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;15,31;;61,54;1,49;0,69;28,22;10,90;2,63;14,83;19,49;4,66;0,47;1,62;18,20;-0,88;1,20;2,43;1,12;5,10;0,46;0,53;0,43;5,83;;14.787.095,53;10,25;0,25;-0,46;1.811.063.012,96
ABCB4;15,99;4,82;8,22;0,81;0,08;64,72;51,16;28,90;4,64;4,64;;;2,37;1,17;-0,09;2,41;9,87;1,00;;0,10;0,90;0,03;1,17;-2,60;13.049.597,68;19,72;1,95;0,61;3.615.180.986,82
ABEV3;17,53;2,80;18,94;3,50;2,22;52,59;28,38;21,91;14,62;14,01;-0,61;-0,15;4,15;70,50;-3,01;1,14;18,47;11,71;19,69;0,63;0,36;0,53;4,56;-1,85;371.880.205,45;5,01;0,93;0,30;275.947.709.568,35
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;8,46;;56,94;6,44;2,64;10,44;8,04;4,18;29,59;32,51;2,91;0,63;2,38;6,77;-6,85;2,73;11,30;4,63;10,16;0,41;0,59;1,11;;;27.852.520,76;1,31;0,15;14,36;6.482.165.837,76
AESB3;14,93;1,55;256,87;3,32;0,58;32,59;24,35;4,13;43,60;78,33;34,74;2,64;10,61;15,69;-0,68;1,35;1,29;0,23;1,54;0,18;0,74;0,05;;;11.334.393,11;4,50;0,06;;5.958.660.343,60
AFLT3;8,91;6,89;28,46;3,27;2,97;70,12;56,15;53,65;27,19;26,61;-0,58;-0,07;15,27;16,42;-3,74;8,22;11,50;10,43;11,06;0,91;0,09;0,19;5,56;8,17;21.579,11;2,72;0,31;-1,68;562.084.677,00
AGRO3;26,96;2,63;23,09;1,59;0,97;46,45;39,31;7,58;4,45;4,91;0,46;0,16;1,75;6,00;-1,68;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;14.864.117,79;16,91;1,17;-0,71;2.760.084.135,68
AGXY3;7,50;;-19,91;1,30;0,28;-2,68;-12,69;-4,10;-6,43;-10,42;-3,99;0,80;0,82;11,02;-1,11;1,04;-6,51;-1,43;-10,47;0,22;0,78;0,35;;;8.734.550,74;5,79;-0,38;;1.281.187.417,50
AHEB3;25,70;;-4,20;-5,14;0,79;21,97;-15,75;-26,33;-7,03;-7,03;0,11;;1,11;-3,06;-0,99;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;20.589,00;-5,00;-6,11;-0,10;223.087.314,40
AHEB5;20,93;;-3,42;-4,18;0,64;21,97;-15,75;-26,33;-5,72;-7,03;0,11;;0,90;-2,49;-0,81;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;4.048,00;-5,00;-6,11;-0,08;223.087.314,40
AHEB6;51,50;;-8,43;-10,29;1,58;21,97;-15,75;-26,33;-14,08;-7,03;0,11;;2,22;-6,13;-1,98;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;6.742,00;-5,00;-6,11;-0,20;223.087.314,40
ALLD3;30,16;;7,94;1,88;0,70;15,90;8,87;6,10;5,46;5,92;0,46;0,16;0,48;2,95;-2,45;1,50;23,64;8,84;21,45;0,37;0,63;1,45;;;17.838.904,82;16,07;3,80;0,02;2.767.900.371,60
ALPA3;48,51;;95,55;9,01;5,63;54,19;14,16;7,59;51,21;55,07;-1,12;-0,20;7,25;20,44;-12,05;2,07;9,42;5,89;14,52;0,63;0,36;0,78;-3,59;-13,58;188.168,89;5,39;0,51;7,77;31.304.458.774,65
ALPA4;58,22;;114,68;10,81;6,76;54,19;14,16;7,59;61,46;55,07;-1,12;-0,20;8,70;24,53;-14,46;2,07;9,42;5,89;14,52;0,63;0,36;0,78;-3,59;-13,58;125.157.574,55;5,39;0,51;9,33;31.304.458.774,65
ALPK3;6,66;;-6,02;2,33;0,49;23,76;-4,53;-32,42;-43,08;-90,83;-47,75;2,59;1,95;-2,19;-0,53;0,29;-38,75;-8,05;-1,58;0,21;0,79;0,25;;;336.005,55;2,85;-1,11;-0,05;1.291.648.431,96
ALSO3;25,73;0,88;53,42;1,03;0,63;65,01;33,73;15,82;25,05;28,47;3,43;0,14;8,45;7,58;-0,73;2,54;1,93;1,18;2,47;0,61;0,29;0,07;19,22;-0,15;31.824.353,76;24,95;0,48;1,74;6.838.333.577,94
ALUP11;25,37;3,31;5,52;1,17;0,31;67,80;66,47;19,70;1,64;3,32;1,68;1,20;1,09;4,40;-0,37;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;29,19;22.096.159,71;21,75;4,60;0,05;7.434.350.964,84
ALUP3;8,23;3,40;5,37;1,14;0,30;67,80;66,47;19,70;1,59;3,32;1,68;1,20;1,06;4,28;-0,36;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;29,19;149.928,89;7,25;1,53;0,05;7.434.350.964,84
ALUP4;8,45;3,31;5,52;1,17;0,31;67,80;66,47;19,70;1,64;3,32;1,68;1,20;1,09;4,40;-0,37;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;29,19;215.422,61;7,25;1,53;0,05;7.434.350.964,84
AMAR3;7,31;;17,05;2,17;0,59;42,23;-5,35;4,85;-15,47;-25,17;-9,70;1,36;0,83;7,89;-1,20;1,17;12,76;3,45;-5,39;0,27;0,73;0,71;-7,53;;48.932.695,53;3,36;0,43;-0,12;1.912.783.862,09
AMBP3;62,68;0,15;74,18;6,24;1,92;22,14;18,23;9,35;38,04;43,21;5,17;0,85;6,94;8,15;-3,18;2,46;8,42;2,59;4,50;0,31;0,67;0,28;;;69.595.640,84;10,04;0,85;0,42;7.078.802.655,84
AMER3;42,42;;-178,49;2,44;0,89;28,79;1,40;-1,61;205,83;214,93;9,10;0,11;2,88;2,91;-2,23;2,04;-1,36;-0,50;0,61;0,37;0,63;0,31;2,35;;236.981.248,82;17,42;-0,24;21,56;38.307.965.293,08
ANIM3;10,38;;176,18;1,64;0,41;54,36;12,33;1,38;19,67;39,76;20,10;1,67;2,42;-58,91;-0,48;0,95;0,93;0,23;2,56;0,25;0,75;0,17;11,24;;31.502.782,13;6,35;0,06;-1,11;4.192.158.195,90
APER3;42,80;;268,20;1,68;1,05;100,00;-0,74;1,53;-558,35;-558,35;;;4,11;6,41;-1,53;2,12;0,63;0,39;;0,63;0,37;0,26;-11,42;;5.173.249,34;25,43;0,16;-1,76;491.349.735,20
APTI3;197,64;239,54;0,05;0,01;0,01;79,07;324,02;292,25;0,05;0,59;0,02;0,01;0,15;0,05;-0,01;2,29;27,09;14,75;22,80;0,54;0,45;0,05;-22,74;84,17;;13.930,63;3.773,54;0,00;44.442.750,00
APTI4;3.500,00;14,88;0,93;0,25;0,14;79,07;324,02;292,25;0,84;0,59;0,02;0,01;2,71;0,83;-0,19;2,29;27,09;14,75;22,80;0,54;0,45;0,05;-22,74;84,17;;13.930,63;3.773,54;0,00;44.442.750,00
ARML3;22,04;;305,57;57,50;8,99;46,24;37,45;15,11;123,28;131,23;7,95;3,71;46,17;87,58;-12,38;1,60;18,82;2,94;6,24;0,16;0,84;0,19;;;41.415.420,29;0,38;0,07;;7.620.539.842,84
ARZZ3;92,63;0,92;38,86;6,45;3,35;49,30;20,33;14,71;28,11;28,49;0,38;0,09;5,72;19,39;-6,52;1,55;16,60;8,62;14,63;0,52;0,48;0,59;7,26;-16,50;56.192.990,74;14,36;2,38;0,08;9.228.857.878,82
ASAI3;17,85;0,35;14,41;12,54;1,17;15,49;6,66;4,87;10,55;12,75;2,20;2,62;0,70;17,61;-2,16;1,17;87,01;8,14;14,94;0,09;0,91;1,67;;;139.735.287,08;1,42;1,24;0,19;24.035.012.415,75
ATMP3;6,32;;-1,13;0,79;0,10;7,65;-8,76;-14,53;-1,88;-4,86;-2,98;1,26;0,16;-0,41;-0,12;0,46;-70,20;-8,60;-23,80;0,12;0,88;0,59;-16,98;;394.965,55;7,96;-5,58;0,02;168.424.473,44
ATOM3;5,79;5,18;10,26;6,81;4,41;100,00;31,96;33,45;10,74;9,54;-1,19;-0,76;3,43;4,66;-207,91;30,27;66,40;42,95;60,42;0,65;0,35;1,28;;;355.885,76;0,85;0,56;0,20;121.005.175,26
AURA33;59,00;7,79;7,73;2,89;1.561,74;45,23;31,96;27,16;6,57;6,51;-0,06;-0,02;2,10;11,83;-2,50;1,54;37,37;20.205,80;29,84;540,74;459,26;743,89;;;9.663.328,53;20,43;7,63;0,00;4.173.805.140,00
AVLL3;30,10;;-1,67;2,74;0,31;4,41;-64,55;-114,74;-2,97;-6,02;-3,05;2,81;1,92;5,45;-0,52;1,17;-163,84;-18,63;-19,42;0,11;0,89;0,16;;;147.967,55;11,00;-18,02;-6,11;674.715.399,40
AZEV3;6,85;;2,33;-4,96;8,34;7,94;1.110,11;1.088,63;2,28;2,01;-0,01;;25,35;230,38;-22,26;1,06;-213,22;358,22;-217,35;-1,68;2,68;0,33;-38,42;;1.483.117,63;-1,38;2,94;-0,01;330.148.500,00
AZEV4;5,67;;1,93;-4,11;6,90;7,94;1.110,11;1.088,63;1,89;2,01;-0,01;;20,98;190,69;-18,42;1,06;-213,22;358,22;-217,35;-1,68;2,68;0,33;-38,42;;7.774.418,05;-1,38;2,94;-0,01;330.148.500,00
AZUL4;39,74;;-15,84;-3,19;2,89;6,85;-19,48;-52,21;-42,45;-16,34;-4,70;;8,27;-13,91;-4,72;0,65;-20,13;-18,22;20,51;-0,91;1,91;0,35;-1,70;;156.455.217,79;-12,47;-2,51;0,21;13.749.699.896,07
B3SA3;13,99;7,37;18,30;3,78;1,73;90,85;63,19;45,35;13,13;11,86;-1,27;-0,36;8,30;11,64;-2,89;1,59;20,64;9,46;13,91;0,46;0,54;0,21;33,29;13,50;528.963.822,21;3,70;0,76;0,47;85.702.740.000,00
BAHI3;14,91;;-4,41;1,27;0,35;39,46;-4,96;-18,95;-16,83;-18,33;-1,50;0,11;0,84;-1,32;-0,40;0,32;-28,85;-8,00;-10,93;0,28;0,71;0,42;;;86.902,83;11,73;-3,38;-0,04;193.654.062,00
BALM3;18,05;1,88;25,43;1,51;0,85;53,56;8,25;4,75;14,65;12,62;-1,57;-0,16;1,21;2,04;-2,65;2,57;5,93;3,33;5,02;0,56;0,40;0,70;7,78;1,84;10.344,50;11,98;0,71;-0,45;171.451.000,00
BALM4;16,94;2,42;23,86;1,41;0,79;53,56;8,25;4,75;13,75;12,62;-1,57;-0,16;1,13;1,91;-2,49;2,57;5,93;3,33;5,02;0,56;0,40;0,70;7,78;1,84;66.921,24;11,98;0,71;-0,42;171.451.000,00
BAUH4;88,80;;20,82;4,77;3,14;20,83;11,24;11,86;21,96;21,25;-0,71;-0,15;2,47;214,59;-4,72;1,05;22,92;15,10;15,49;0,66;0,34;1,27;10,90;33,53;49.294,06;18,61;4,26;0,29;463.733.313,60
BAZA3;41,40;6,28;2,67;0,45;0,05;44,32;89,66;49,27;1,47;1,47;;;1,32;1,78;-0,06;;16,87;2,00;;0,12;0,88;0,04;-8,12;1,30;52.824,38;91,85;15,49;0,06;1.227.343.033,80
BBAS3;30,50;6,32;5,50;0,65;0,05;41,25;17,85;17,29;5,33;5,33;;;0,95;1,54;-0,05;14,02;11,73;0,83;;0,07;0,93;0,05;-11,56;-3,39;368.185.644,71;47,27;5,55;-0,77;87.395.219.110,00
BBDC3;20,09;5,45;8,96;1,33;0,14;56,65;31,41;24,55;7,01;7,58;;;2,20;2,44;-0,15;4,97;14,87;1,56;;0,10;0,90;0,06;-3,00;-2,54;127.508.778,95;15,07;2,24;0,26;211.401.814.683,73
BBDC4;23,42;5,14;10,45;1,55;0,16;56,65;31,41;24,55;8,17;7,58;;;2,57;2,84;-0,18;4,97;14,87;1,56;;0,10;0,90;0,06;-3,00;-2,54;938.260.446,32;15,07;2,24;0,30;211.401.814.683,73
BBML3;3.936,42;0,01;5.228,31;1.053,45;163,86;11,27;3,35;2,57;4.009,99;4.017,65;7,66;2,01;134,21;5.873,48;-295,47;1,07;20,15;3,13;3,59;0,16;0,84;1,22;45,38;25,57;;3,74;0,75;50,35;160.451.699.191,56
BBRK3;2,27;;-1,44;3,69;0,95;62,62;-91,37;-100,24;-1,58;-1,38;0,20;-0,46;1,45;-5,26;-1,27;0,58;-255,74;-65,74;-232,34;0,26;0,74;0,66;-9,38;;6.966.272,45;0,62;-1,57;0,08;178.267.240,48
BBSE3;20,19;4,94;10,79;5,85;3,55;;;;8,48;8,48;;;;35,07;-5,30;1,44;54,26;32,87;;0,61;0,39;0,00;;-1,76;148.136.277,47;3,45;1,87;-0,26;40.380.000.000,00
BDLL3;10,41;;-0,37;-0,09;0,03;-68,86;-227,65;-219,55;-0,36;-5,63;-5,25;;0,81;-0,06;-0,04;0,50;-25,13;-6,77;-86,99;-0,27;1,27;0,03;-46,07;;43.604,69;-111,77;-28,09;0,00;17.698.448,40
BDLL4;11,46;;-0,41;-0,10;0,03;-68,86;-227,65;-219,55;-0,39;-5,63;-5,25;;0,90;-0,07;-0,05;0,50;-25,13;-6,77;-86,99;-0,27;1,27;0,03;-46,07;;49.372,86;-111,77;-28,09;0,01;17.698.448,40
BEEF3;8,52;12,09;8,53;11,07;0,27;17,67;8,07;2,39;2,53;5,40;2,87;12,55;0,20;1,03;-0,84;1,61;129,74;3,11;14,99;0,02;0,98;1,30;15,30;;64.291.702,53;0,77;1,00;-0,43;4.682.955.216,12
BEES3;5,12;5,03;7,31;0,91;0,05;51,53;23,48;14,66;4,57;4,76;;;1,07;0,55;-0,06;;12,40;0,68;;0,06;0,94;0,05;-7,16;7,23;173.582,71;5,65;0,70;-1,75;1.687.678.231,20
BEES4;5,95;4,32;8,49;1,05;0,06;51,53;23,48;14,66;5,31;4,76;;;1,25;0,64;-0,06;;12,40;0,68;;0,06;0,94;0,05;-7,16;7,23;38.622,82;5,65;0,70;-2,04;1.687.678.231,20
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-6,61;-0,14;;0,00;0,00;8,20;5,26;5,08;-0,51;0,96;0,04;0,00;;-3,40;;263.177,13;13.854,95;0,00;
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-6,61;-0,14;;0,00;0,00;8,20;5,26;5,08;-0,51;0,96;0,04;0,00;;-3,40;;263.177,13;13.854,95;0,00;
BGIP3;35,73;3,17;6,86;1,02;0,08;75,35;18,05;12,49;4,75;3,89;;;0,86;-0,46;-0,15;0,76;14,87;1,10;;0,07;0,93;0,09;0,74;14,88;16.693,48;35,01;5,21;0,39;447.012.457,05
BGIP4;22,76;5,47;4,37;0,65;0,05;75,35;18,05;12,49;3,02;3,89;;;0,55;-0,30;-0,10;0,76;14,87;1,10;;0,07;0,93;0,09;0,74;14,88;30.455,65;35,01;5,21;0,25;447.012.457,05
BIDI11;64,19;0,08;2.051,37;6,39;1,84;57,79;-7,78;2,08;-549,42;-549,42;;;42,76;37,51;-3,77;1,11;0,31;0,09;;0,29;0,71;0,04;14,14;;260.288.921,76;10,05;0,03;192,51;55.173.522.614,72
BIDI3;22,14;0,08;2.122,63;6,61;1,90;57,79;-7,78;2,08;-568,51;-549,42;;;44,25;38,82;-3,90;1,11;0,31;0,09;;0,29;0,71;0,04;14,14;;11.117.083,63;3,35;0,01;199,20;55.173.522.614,72
BIDI4;21,21;0,08;2.033,47;6,33;1,82;57,79;-7,78;2,08;-544,63;-549,42;;;42,39;37,19;-3,74;1,11;0,31;0,09;;0,29;0,71;0,04;14,14;;112.109.326,89;3,35;0,01;190,83;55.173.522.614,72
BIOM3;13,75;;-13,31;5,87;2,37;25,11;-67,85;-81,30;-15,95;-17,67;-1,71;0,63;10,82;9,42;-3,88;2,84;-44,13;-17,81;-17,44;0,40;0,60;0,22;;;144.992,32;2,34;-1,03;-0,87;931.841.845,00
BKBR3;9,90;;-5,89;1,72;0,75;59,85;-14,55;-19,07;-7,72;-8,62;-0,90;0,20;1,12;15,18;-0,95;1,30;-29,24;-12,69;-16,88;0,43;0,57;0,67;18,70;;18.995.459,21;5,75;-1,68;-0,04;2.726.018.925,30
BLAU3;49,44;0,04;26,49;5,71;3,83;50,55;36,11;25,03;18,36;17,31;-1,05;-0,33;6,63;6,52;-16,20;4,34;21,54;14,47;16,38;0,67;0,33;0,58;;;16.823.438,26;8,67;1,87;0,47;8.869.236.344,16
BMEB3;22,74;5,19;6,70;1,12;0,10;79,01;11,29;7,93;4,71;4,47;;;0,53;0,65;-0,20;1,51;16,67;1,54;;0,09;0,91;0,19;-9,42;12,08;54.104,41;20,37;3,40;0,21;1.132.024.552,24
