TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;16,06;6,24;8,25;0,81;0,08;64,72;51,16;28,90;4,66;4,66;;;2,39;1,17;-0,09;2,41;9,87;1,00;;0,10;0,90;0,03;1,17;2,52;16.467.525,84;19,72;1,95;0,61;3.631.007.295,08
ABEV3;15,27;3,21;16,50;3,05;1,93;52,59;28,38;21,91;12,74;12,13;-0,61;-0,15;3,61;61,41;-2,62;1,14;18,47;11,71;19,69;0,63;0,36;0,53;4,56;3,24;371.858.802,86;5,01;0,93;0,26;240.372.020.827,65
AESB3;11,68;1,98;247,78;3,20;0,56;32,59;24,35;4,13;42,05;76,79;34,74;2,64;10,24;15,13;-0,65;1,35;1,29;0,23;1,54;0,18;0,74;0,05;;;29.902.197,08;3,65;0,05;;5.747.804.153,60
AFLT3;8,65;5,08;27,70;3,05;2,78;67,45;53,41;50,68;26,29;25,36;-0,92;-0,11;14,04;12,36;-3,71;9,63;11,02;10,03;10,66;0,91;0,09;0,20;5,56;9,29;4.688,29;2,83;0,31;-2,52;545.682.655,00
ALLD3;17,60;2,63;4,70;1,11;0,42;15,90;8,87;6,10;3,24;3,70;0,46;0,16;0,29;1,75;-1,45;1,50;23,64;8,84;21,45;0,37;0,63;1,45;;;10.575.955,27;15,83;3,74;0,01;1.640.383.043,20
ALSO3;19,99;1,13;41,50;0,80;0,49;65,01;33,73;15,82;19,46;22,89;3,43;0,14;6,56;5,89;-0,57;2,54;1,93;1,18;2,47;0,61;0,29;0,07;19,22;5,68;30.708.528,57;24,95;0,48;1,35;5.312.797.832,22
ALUP11;24,05;3,49;5,23;1,11;0,29;67,80;66,47;19,70;1,55;3,23;1,68;1,20;1,03;4,17;-0,35;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;45,13;22.749.646,32;21,75;4,60;0,05;7.047.542.006,48
ALUP3;7,97;3,51;5,20;1,10;0,29;67,80;66,47;19,70;1,54;3,23;1,68;1,20;1,03;4,15;-0,35;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;45,13;1.048.451,49;7,25;1,53;0,05;7.047.542.006,48
ALUP4;8,18;3,42;5,34;1,13;0,30;67,80;66,47;19,70;1,58;3,23;1,68;1,20;1,05;4,26;-0,36;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;45,13;1.075.500,54;7,25;1,53;0,05;7.047.542.006,48
APTI3;197,64;239,54;0,05;0,01;0,01;79,07;324,02;292,25;0,05;0,59;0,02;0,01;0,15;0,05;-0,01;2,29;27,09;14,75;22,80;0,54;0,45;0,05;-22,74;86,58;;13.930,63;3.773,54;0,00;44.442.750,00
APTI4;3.500,00;14,88;0,93;0,25;0,14;79,07;324,02;292,25;0,84;0,59;0,02;0,01;2,71;0,83;-0,19;2,29;27,09;14,75;22,80;0,54;0,45;0,05;-22,74;86,58;;13.930,63;3.773,54;0,00;44.442.750,00
ARZZ3;80,45;1,06;33,75;5,60;2,91;49,30;20,33;14,71;24,42;24,79;0,38;0,09;4,96;16,84;-5,67;1,55;16,60;8,62;14,63;0,52;0,48;0,59;7,26;14,70;65.731.318,46;14,36;2,38;0,07;8.015.347.256,30
ATOM3;4,18;7,18;7,41;4,92;3,18;100,00;31,96;33,45;7,75;6,56;-1,19;-0,76;2,48;3,36;-150,10;30,27;66,40;42,95;60,42;0,65;0,35;1,28;;;133.949,41;0,85;0,56;0,14;87.984.764,74
AURA33;56,80;8,09;7,44;2,78;1.503,50;45,23;31,96;27,16;6,32;6,20;-0,06;-0,02;2,02;11,39;-2,41;1,54;37,37;20.205,80;29,84;540,74;459,26;743,89;;;6.415.601,00;20,43;7,63;0,00;3.975.726.252,00
B3SA3;12,89;7,44;16,86;3,48;1,59;90,85;63,19;45,35;12,10;10,83;-1,27;-0,36;7,65;10,72;-2,66;1,59;20,64;9,46;13,91;0,46;0,54;0,21;33,29;16,29;734.215.345,62;3,70;0,76;0,43;78.964.140.000,00
BALM3;17,00;2,00;23,95;1,42;0,80;53,56;8,25;4,75;13,79;11,36;-1,57;-0,16;1,14;1,92;-2,49;2,57;5,93;3,33;5,02;0,56;0,40;0,70;7,78;-13,19;9.596,17;11,98;0,71;-0,42;156.163.000,00
BALM4;14,87;2,76;20,95;1,24;0,70;53,56;8,25;4,75;12,07;11,36;-1,57;-0,16;1,00;1,68;-2,18;2,57;5,93;3,33;5,02;0,56;0,40;0,70;7,78;-13,19;27.089,43;11,98;0,71;-0,37;156.163.000,00
BAZA3;37,79;6,88;2,44;0,41;0,05;44,32;89,66;49,27;1,34;1,34;;;1,20;1,62;-0,05;;16,87;2,00;;0,12;0,88;0,04;-8,12;13,03;39.534,37;91,85;15,49;0,06;1.120.321.092,93
BBAS3;29,51;6,81;5,32;0,62;0,04;41,25;17,85;17,29;5,15;5,15;;;0,92;1,49;-0,05;14,02;11,73;0,83;;0,07;0,93;0,05;-11,56;2,46;430.480.852,38;47,27;5,55;-0,74;84.701.727.111,20
BBDC3;17,69;6,19;7,89;1,17;0,12;56,65;31,41;24,55;6,17;6,70;;;1,94;2,15;-0,13;4,97;14,87;1,56;;0,10;0,90;0,06;-3,00;3,74;138.222.230,95;15,07;2,24;0,23;186.815.413.626,43
BBDC4;20,76;5,80;9,26;1,38;0,14;56,65;31,41;24,55;7,24;6,70;;;2,27;2,52;-0,16;4,97;14,87;1,56;;0,10;0,90;0,06;-3,00;3,74;1.035.968.051,05;15,07;2,24;0,27;186.815.413.626,43
BBSE3;22,44;4,44;11,99;6,51;3,94;;;;9,42;9,42;;;;38,98;-5,89;1,44;54,26;32,87;;0,61;0,39;0,00;;-2,32;133.478.731,11;3,45;1,87;-0,29;44.880.000.000,00
BEEF3;9,26;11,13;10,06;13,06;0,31;17,67;8,07;2,39;2,98;5,85;2,87;12,55;0,24;1,21;-0,99;1,61;129,74;3,11;14,99;0,02;0,98;1,30;15,30;;102.005.757,73;0,71;0,92;-0,50;5.522.443.547,18
BEES3;4,97;5,56;7,10;0,88;0,05;51,53;23,48;14,66;4,43;4,62;;;1,04;0,54;-0,05;;12,40;0,68;;0,06;0,94;0,05;-7,16;7,19;86.920,62;5,65;0,70;-1,70;1.637.116.249,60
BEES4;5,76;4,80;8,22;1,02;0,06;51,53;23,48;14,66;5,14;4,62;;;1,21;0,62;-0,06;;12,40;0,68;;0,06;0,94;0,05;-7,16;7,19;39.631,11;5,65;0,70;-1,97;1.637.116.249,60
BGIP3;31,11;3,64;5,97;0,89;0,07;75,35;18,05;12,49;4,13;3,56;;;0,75;-0,40;-0,13;0,76;14,87;1,10;;0,07;0,93;0,09;0,74;24,00;6.298,47;35,01;5,21;0,34;409.946.113,80
BGIP4;22,53;5,53;4,33;0,64;0,05;75,35;18,05;12,49;2,99;3,56;;;0,54;-0,29;-0,10;0,76;14,87;1,10;;0,07;0,93;0,09;0,74;24,00;15.638,72;35,01;5,21;0,25;409.946.113,80
BMEB3;22,25;5,31;6,55;1,09;0,10;79,01;11,29;7,93;4,60;4,32;;;0,52;0,63;-0,19;1,51;16,67;1,54;;0,09;0,91;0,19;-9,42;11,41;11.457,00;20,37;3,40;0,20;1.093.644.547,62
BMEB4;18,59;6,99;5,47;0,91;0,08;79,01;11,29;7,93;3,85;4,32;;;0,43;0,53;-0,16;1,51;16,67;1,54;;0,09;0,91;0,19;-9,42;11,41;49.626,03;20,37;3,40;0,17;1.093.644.547,62
BMGB4;3,51;5,09;6,52;0,51;0,07;70,49;6,55;7,44;7,40;7,38;;;0,48;;-0,07;;7,75;1,01;;0,13;0,87;0,14;11,98;8,66;4.041.220,22;6,95;0,54;-0,40;2.041.313.438,50
BMIN4;18,00;10,83;23,07;0,69;0,38;83,45;55,41;33,78;14,06;16,89;;;7,79;-6,57;-0,52;0,82;2,99;1,66;;0,56;0,44;0,05;-1,79;-1,49;20.260,66;26,10;0,78;0,28;104.342.592,25
BMKS3;227,05;3,49;35,46;0,54;0,48;34,40;3,85;12,43;114,34;-37,61;-151,95;-0,72;4,41;0,65;-1,96;34,00;1,53;1,35;-0,11;0,88;0,12;0,11;1,12;-22,91;181.549,38;418,98;6,40;-1,43;103.250.987,50
BNBR3;73,50;3,81;4,54;0,91;0,10;74,92;61,22;35,59;2,64;2,64;;;1,62;1,36;-0,11;;20,13;2,22;;0,11;0,89;0,06;-9,48;35,51;29.662,92;80,35;16,18;0,83;6.348.302.604,00
