AAN;26,85;1,06;9,28;1,20;0,64;71,39;30,57;5,22;1,59;1,50;-0,09;-0,07;0,48;-13,55;-0,73;0,72;12,89;6,93;71,22;0,54;0,46;1,33;;;;22,45;2,89;;877.259.310,00
AB;51,46;6,57;15,45;;3,20;;;;;;;;;;-3,20;;;20,70;;0,00;0,00;0,00;;8,50;;0,00;3,33;;5.119.049.792,00
ABB;37,67;1,40;13,25;5,30;1,92;31,15;10,14;20,29;26,51;26,65;0,16;0,03;2,69;39,13;-3,51;1,12;39,99;14,47;10,68;0,36;0,64;0,71;-5,93;21,63;;7,11;2,84;;75.525.900.000,00
ABBV;111,62;4,55;29,60;15,69;1,33;65,62;15,80;12,40;23,24;31,89;8,66;5,85;3,67;-73,46;-1,62;0,91;53,01;4,50;8,27;0,08;0,92;0,36;14,91;-2,14;;7,11;3,77;;197.181.442.290,00
ABC;125,14;1,41;-6,95;684,96;0,46;3,04;-2,12;-1,83;-6,01;-7,06;-1,05;119,85;0,13;-11,16;-1,39;0,94;-9.862,07;-6,69;-70,93;0,00;1,00;3,65;6,91;;;0,18;-18,02;;26.010.789.178,00
ABCB;48,03;1,25;7,91;1,18;0,15;0,00;48,66;35,64;5,79;-0,57;-6,36;-1,30;2,82;;-0,15;;14,94;1,94;13,71;0,13;0,87;0,05;33,56;45,02;;40,66;6,07;;3.352.275.520,00
ABEV;3,14;2,68;20,22;3,27;2,10;52,87;28,00;21,16;15,28;14,50;-0,78;-0,17;4,28;66,87;-2,85;1,14;16,16;10,40;18,82;0,64;0,36;0,49;-4,65;-9,85;;0,96;0,16;;49.414.685.854,00
ABM;48,86;1,55;15,27;2,05;0,87;100,00;5,59;3,66;10,01;10,60;0,63;0,13;0,56;7,55;-1,43;1,41;13,43;5,66;11,38;0,42;0,58;1,55;4,10;-66,97;;23,83;3,20;;3.268.622.997,00
ABST;12,50;3,93;58,20;-14,37;4,75;87,94;14,58;10,16;40,54;37,49;-3,08;;5,91;-36,71;-14,08;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;6,35;-17,44;;-0,87;0,21;;619.406.379,00
ABT;128,94;1,33;35,85;6,76;3,12;55,74;19,24;15,85;29,53;30,77;1,23;0,28;5,68;22,83;-4,51;1,79;18,86;8,70;13,22;0,46;0,54;0,55;11,14;0,32;;19,07;3,60;;228.657.975.354,00
ABTX;36,23;1,27;10,03;0,93;0,11;0,00;37,84;28,38;7,52;-8,46;-15,99;-1,97;2,85;;-0,11;;9,26;1,12;8,71;0,12;0,88;0,04;21,91;24,49;;39,04;3,61;;732.786.500,00
ACCO;9,69;2,68;12,06;1,19;0,29;30,00;6,95;4,19;7,27;16,37;9,10;1,48;0,51;2,46;-0,41;1,67;9,84;2,42;6,04;0,25;0,75;0,58;1,85;-6,31;;8,17;0,80;;926.296.170,00
ACGLO;26,49;5,14;5,16;0,75;0,23;38,66;26,52;21,32;4,15;6,58;0,40;0,07;1,10;;-0,23;;14,54;4,37;12,89;0,30;0,70;0,21;16,71;22,20;;35,31;5,13;;15.643.540.500,00
ACGLP;25,29;5,19;4,93;0,72;0,22;38,66;26,52;21,32;3,96;6,58;0,40;0,07;1,05;;-0,22;;14,54;4,37;12,89;0,30;0,70;0,21;16,71;22,20;;35,31;5,13;;15.643.540.500,00
ACI;33,35;1,20;21,95;9,16;0,58;29,08;2,08;1,04;10,97;15,34;4,36;3,64;0,23;23,11;-0,80;1,10;41,73;2,65;12,02;0,06;0,88;2,55;;;;3,64;1,52;;15.563.630.952,00
ACN;343,33;1,03;37,68;11,26;5,17;31,99;15,50;12,05;29,28;27,97;-1,34;-0,51;4,54;35,03;-10,38;1,42;29,87;13,72;29,19;0,46;0,53;1,14;6,13;10,84;;30,50;9,11;;217.895.677.126,00
ACNB;28,07;3,63;8,22;0,92;0,09;0,00;37,47;28,23;6,19;-18,09;-24,28;-3,60;2,32;;-0,09;;11,19;1,10;10,75;0,10;0,90;0,04;15,20;10,80;;30,54;3,42;;244.806.891,00
