TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BBSE3;21,75;8,61;11,62;6,31;3,82;;;;9,13;9,13;;;;37,78;-5,71;1,44;54,26;32,87;;0,61;0,39;0,00;;-1,76;156.688.864,64;3,45;1,87;-0,28;43.500.000.000,00
BEEF3;9,87;10,44;9,89;12,83;0,31;17,67;8,07;2,39;2,93;5,80;2,87;12,55;0,24;1,19;-0,97;1,61;129,74;3,11;14,99;0,02;0,98;1,30;15,30;;60.679.679,29;0,77;1,00;-0,50;5.424.941.539,29
BRAP3;60,75;10,81;6,79;1,74;1,58;;;;6,80;7,16;-0,40;-0,10;;199,06;-1,75;1,09;25,60;23,30;25,54;0,91;0,09;0,00;;;3.306.636,14;34,95;8,95;0,00;23.492.039.232,15
BRAP4;71,15;10,16;7,95;2,04;1,85;;;;7,97;7,16;-0,40;-0,10;;233,14;-2,05;1,09;25,60;23,30;25,54;0,91;0,09;0,00;;;155.854.372,32;34,95;8,95;0,00;23.492.039.232,15
BSLI4;23,90;8,75;18,89;4,20;0,31;75,89;26,24;18,59;13,38;16,88;;;3,51;-1,54;-0,37;0,43;22,22;1,66;;0,07;0,93;0,09;-2,43;29,66;12.829,45;5,69;1,27;677,69;10.945.998.000,00
CCPR3;10,47;9,20;38,63;0,98;0,33;62,41;48,94;8,71;6,88;11,44;4,57;0,65;3,37;5,69;-0,36;2,51;2,53;0,85;4,62;0,34;0,39;0,10;4,82;19,63;2.287.250,75;10,72;0,27;-3,79;1.598.187.339,15
CEBR3;175,73;21,00;1,60;1,37;0,77;-25,51;-549,92;-473,37;1,38;0,02;-1,37;-1,36;;1,62;-4,80;2,30;85,42;48,11;59,91;0,56;0,37;-0,10;-36,10;56,67;322.357,44;128,72;109,95;0,00;2.560.656.397,44
CEBR5;179,50;20,56;1,63;1,39;0,79;-25,51;-549,92;-473,37;1,41;0,02;-1,37;-1,36;;1,65;-4,90;2,30;85,42;48,11;59,91;0,56;0,37;-0,10;-36,10;56,67;108.976,78;128,72;109,95;0,00;2.560.656.397,44
CEBR6;176,95;22,94;1,61;1,37;0,77;-25,51;-549,92;-473,37;1,39;0,02;-1,37;-1,36;;1,63;-4,83;2,30;85,42;48,11;59,91;0,56;0,37;-0,10;-36,10;56,67;105.490,35;128,72;109,95;0,00;2.560.656.397,44
CEEB3;41,40;11,13;7,10;1,85;0,48;23,51;17,69;11,84;4,75;9,22;3,54;1,37;0,84;-74,83;-0,61;0,97;25,99;6,74;13,20;0,26;0,74;0,57;10,93;29,39;158.422,68;22,43;5,83;0,11;12.973.476.657,64
CEEB5;54,52;8,45;9,35;2,43;0,63;23,51;17,69;11,84;6,26;9,22;3,54;1,37;1,11;-98,55;-0,80;0,97;25,99;6,74;13,20;0,26;0,74;0,57;10,93;29,39;12.534,67;22,43;5,83;0,15;12.973.476.657,64
CEEB6;60,68;8,35;10,41;2,71;0,70;23,51;17,69;11,84;6,97;9,22;3,54;1,37;1,23;-109,68;-0,89;0,97;25,99;6,74;13,20;0,26;0,74;0,57;10,93;29,39;;22,43;5,83;0,16;12.973.476.657,64
CEPE5;28,51;10,39;4,84;1,18;0,18;17,46;10,98;5,63;2,48;15,81;5,84;2,78;0,27;4,25;-0,25;1,21;24,44;3,81;10,08;0,16;0,84;0,68;8,76;62,59;12.552,91;24,08;5,89;0,02;8.538.328.463,83
CEPE6;28,07;11,61;4,77;1,17;0,18;17,46;10,98;5,63;2,45;15,81;5,84;2,78;0,27;4,19;-0,24;1,21;24,44;3,81;10,08;0,16;0,84;0,68;8,76;62,59;38.323,00;24,08;5,89;0,02;8.538.328.463,83
CESP3;24,80;10,47;4,97;1,15;0,58;32,27;38,28;79,62;10,33;11,59;1,73;0,19;3,96;33,62;-0,62;1,35;23,09;11,61;-8,25;0,50;0,50;0,15;-8,26;;184.223,32;21,62;4,99;0,64;7.753.080.356,72
CESP5;36,52;9,22;7,32;1,69;0,85;32,27;38,28;79,62;15,22;11,59;1,73;0,19;5,83;49,51;-0,91;1,35;23,09;11,61;-8,25;0,50;0,50;0,15;-8,26;;13.026,29;21,62;4,99;0,94;7.753.080.356,72
